"subject"	"activity"	"axial"	"stats"	"tBodyAcc"	"tGravityAcc"	"tBodyGyro"
14	"SITTING"	"Y"	"mean"	-0.00870565463888889	-0.0364533962277778	-0.0713478280925926
15	"SITTING"	"Y"	"mean"	-0.0117188472271186	0.210849305016949	-0.0803428762830509
16	"SITTING"	"Y"	"mean"	-0.0102497939956522	-0.086588253942029	-0.0574525433043478
17	"SITTING"	"Y"	"mean"	-0.014156274084375	-0.002814673171875	-0.0669245931234375
18	"SITTING"	"Y"	"mean"	-0.0128691279736842	0.12988647622807	-0.0685796341105263
19	"SITTING"	"Y"	"mean"	-0.016739260030137	0.360343534657534	-0.0520207886438356
20	"SITTING"	"Y"	"mean"	-0.0147229305131818	0.0733385412878788	-0.0650689347121212
21	"SITTING"	"Y"	"mean"	-0.0144009705494118	0.0215206708823529	-0.0653077503317647
22	"SITTING"	"Y"	"mean"	-0.0123468446419355	0.208553884	-0.0793617444354839
23	"SITTING"	"Y"	"mean"	-0.0133945015676471	0.1217510625	-0.0684325551029412
24	"SITTING"	"Y"	"mean"	-0.0131255097938235	0.182254651955882	-0.0750132697044118
25	"SITTING"	"Y"	"mean"	-0.0147696808030769	0.208287142261538	-0.0748002714615385
26	"SITTING"	"Y"	"mean"	-0.00713364541358974	0.223105562025641	-0.0840648503320513
27	"SITTING"	"Y"	"mean"	-0.0155269799285714	0.212947021371429	-0.0797345645214286
28	"SITTING"	"Y"	"mean"	-0.0185404441258333	-0.112596728361111	-0.0673943850555556
29	"SITTING"	"Y"	"mean"	-0.016630680375	0.1556594569	-0.0755797672133333
30	"SITTING"	"Y"	"mean"	-0.00804731295322581	0.114588392624871	-0.074353558416129
1	"STANDING"	"Y"	"mean"	-0.0161375901037736	-0.272983832264151	-0.0593972209811321
2	"STANDING"	"Y"	"mean"	-0.0184208270166667	-0.370062696851852	-0.0820396577592593
3	"STANDING"	"Y"	"mean"	-0.0143376555065574	-0.301735130327869	-0.0585101918262295
4	"STANDING"	"Y"	"mean"	-0.00948911098553571	-0.0759009061071429	-0.061824850625
5	"STANDING"	"Y"	"mean"	-0.00700418554517857	-0.03871012665	-0.050987505
6	"STANDING"	"Y"	"mean"	-0.0181236327175439	-0.230251036140351	-0.0589823639438597
7	"STANDING"	"Y"	"mean"	-0.0145740341037736	-0.117607048924528	-0.0774336443396226
8	"STANDING"	"Y"	"mean"	-0.0148113067148148	-0.0904603488214815	-0.0280117633814815
9	"STANDING"	"Y"	"mean"	-0.0200454954022222	-0.010383816474	-0.060810158296
10	"STANDING"	"Y"	"mean"	-0.0155418603409091	-0.0431597830454545	-0.0876820486363636
11	"STANDING"	"Y"	"mean"	-0.0171990886595745	-0.173082704680851	-0.0765465041914894
12	"STANDING"	"Y"	"mean"	-0.0169002543196721	-0.21886535557377	-0.0700083750360656
13	"STANDING"	"Y"	"mean"	-0.0167891993964912	-0.239943146315789	-0.0753205243684211
14	"STANDING"	"Y"	"mean"	-0.01520781344	-0.226692231166667	-0.05581088271
15	"STANDING"	"Y"	"mean"	-0.0183516360396226	-0.164713175490566	-0.0659637517169811
16	"STANDING"	"Y"	"mean"	-0.0165999672935897	-0.0578867045	-0.068667733
17	"STANDING"	"Y"	"mean"	-0.0174120064169231	-0.257486817948718	-0.0770632126371795
18	"STANDING"	"Y"	"mean"	-0.0166353518150685	-0.204206320958904	-0.0732260127945206
19	"STANDING"	"Y"	"mean"	-0.0154244056945205	-0.223897807808219	-0.0631429827260274
20	"STANDING"	"Y"	"mean"	-0.0180695049161644	-0.305938716712329	-0.0698308923617808
21	"STANDING"	"Y"	"mean"	-0.0167084730205618	-0.346155558876404	-0.0738115865407865
22	"STANDING"	"Y"	"mean"	-0.0158563207496825	-0.226418773650794	-0.0690067688269841
23	"STANDING"	"Y"	"mean"	-0.0177475547867647	-0.117401359697059	-0.0652264793213235
24	"STANDING"	"Y"	"mean"	-0.0144785340348986	-0.145201300942029	-0.0692546674492754
25	"STANDING"	"Y"	"mean"	-0.0163569730274324	-0.159316786486486	-0.0698876853378378
26	"STANDING"	"Y"	"mean"	-0.0166608306652703	-0.140315421824324	-0.0731385762635135
27	"STANDING"	"Y"	"mean"	-0.016593236445	-0.188504847375	-0.067507120075
28	"STANDING"	"Y"	"mean"	-0.0172635124672152	-0.247656166582278	-0.0739001646962025
29	"STANDING"	"Y"	"mean"	-0.0172605869061538	-0.05848715356	-0.0721060679123077
30	"STANDING"	"Y"	"mean"	-0.0170163887813559	-0.100296804186441	-0.0670334379830509
1	"LAYING"	"Y"	"mean"	-0.0405139534294	0.70554977346	-0.064486124088
2	"LAYING"	"Y"	"mean"	-0.0181587397583333	0.752536639375	-0.111800824583333
3	"LAYING"	"Y"	"mean"	-0.0189556785048387	0.837032099677419	-0.0718507159435484
4	"LAYING"	"Y"	"mean"	-0.0150031841055556	0.915165104259259	-0.0930128180759259
5	"LAYING"	"Y"	"mean"	-0.0183042123269231	0.954890346153846	-0.0798709596153846
6	"LAYING"	"Y"	"mean"	-0.0102529170561404	0.956593814210526	-0.107218315054386
7	"LAYING"	"Y"	"mean"	-0.0204411516884615	0.393444278076923	-0.133605695057692
8	"LAYING"	"Y"	"mean"	-0.0212281733881481	0.589922434814815	-0.0891374138592593
9	"LAYING"	"Y"	"mean"	-0.020526821662	-0.1191541962	-0.15890291983
10	"LAYING"	"Y"	"mean"	-0.024294484137931	-0.139297681034483	-0.0770325657265517
11	"LAYING"	"Y"	"mean"	-0.0176598052315789	0.943017941403509	-0.041559989822807
12	"LAYING"	"Y"	"mean"	-0.0175203917146667	0.8033788345	-0.0835537350333333
13	"LAYING"	"Y"	"mean"	-0.020440454366129	0.656400944354839	-0.0966250701451613
14	"LAYING"	"Y"	"mean"	-0.0113424652490196	0.48539692745098	-0.153423807745098
15	"LAYING"	"Y"	"mean"	-0.0166296542054167	0.899242553055556	-0.0619700871944444
16	"LAYING"	"Y"	"mean"	-0.0166103510562857	-0.0199270225714286	-0.113675060885714
17	"LAYING"	"Y"	"mean"	-0.0168462006729577	0.658792072253521	-0.0944580192535211
18	"LAYING"	"Y"	"mean"	-0.0173937684615385	0.719755403692308	-0.0837587308153846
19	"LAYING"	"Y"	"mean"	-0.0171426864421687	0.725646622771084	-0.0952628014096386
20	"LAYING"	"Y"	"mean"	-0.0144406281132353	0.864882956617647	-0.0954899626029412
21	"LAYING"	"Y"	"mean"	-0.0184233048415556	0.599992678	-0.113800486377778
22	"LAYING"	"Y"	"mean"	-0.0142629864502778	0.632484075694444	-0.09257231175
23	"LAYING"	"Y"	"mean"	-0.0216553835833333	0.438434067361111	-0.105052917
24	"LAYING"	"Y"	"mean"	-0.0173555210111111	0.738430699305556	-0.0955538053611111
25	"LAYING"	"Y"	"mean"	-0.0188943663671233	0.620658919917808	-0.0716401726150685
26	"LAYING"	"Y"	"mean"	-0.0191895728026316	0.803015011578947	-0.0903229228815789
27	"LAYING"	"Y"	"mean"	-0.0179867611216216	0.567879494054054	-0.0957839566891892
28	"LAYING"	"Y"	"mean"	-0.0167537858225	0.1440732745	-0.097448733725
29	"LAYING"	"Y"	"mean"	-0.0171965484202899	0.807535373478261	-0.0761814357028986
30	"LAYING"	"Y"	"mean"	-0.0194494098614286	0.732661247714286	-0.0761476351714286
1	"WALKING"	"Z"	"mean"	-0.111148103547368	-0.068102864	0.0849448173042105
2	"WALKING"	"Z"	"mean"	-0.105500357966102	0.0847270871186441	0.0828336633220339
3	"WALKING"	"Z"	"mean"	-0.112674859827586	-0.138107866258621	0.0813485942827586
4	"WALKING"	"Z"	"mean"	-0.11140306485	0.127764112666667	0.0805677161216667
5	"WALKING"	"Z"	"mean"	-0.107741776464286	0.00247623628392857	0.0815435495892857
6	"WALKING"	"Z"	"mean"	-0.110303165877193	0.0331888826842105	0.0838808799280702
7	"WALKING"	"Z"	"mean"	-0.110912234947368	-0.160846924029807	0.0641104602035088
8	"WALKING"	"Z"	"mean"	-0.107252090833333	-0.186267836962021	0.0509657915395833
9	"WALKING"	"Z"	"mean"	-0.110820512307692	-0.115856121080385	0.111629779896154
10	"WALKING"	"Z"	"mean"	-0.109057512132075	0.0549276242264151	0.0986695731160377
11	"WALKING"	"Z"	"mean"	-0.106096304033898	0.134053215101695	0.0843744495507542
12	"WALKING"	"Z"	"mean"	-0.10316110632	-0.03608428788	0.0999739123004
13	"WALKING"	"Z"	"mean"	-0.111431456192982	-0.131299718666667	0.0784205641252632
14	"WALKING"	"Z"	"mean"	-0.106756369135593	-0.422495268474576	0.0513222717627119
15	"WALKING"	"Z"	"mean"	-0.107621819518519	0.0757356734814815	0.0842484921022222
16	"WALKING"	"Z"	"mean"	-0.108804049803922	-0.217351194313725	0.0818650735686274
17	"WALKING"	"Z"	"mean"	-0.109792122032787	-0.190265949622951	0.0757132656704918
18	"WALKING"	"Z"	"mean"	-0.104218315464286	-0.0609313415892857	0.0944718394625
19	"WALKING"	"Z"	"mean"	-0.122736673192308	-0.0898428797307692	0.0798106981923077
20	"WALKING"	"Z"	"mean"	-0.113539477098039	-0.035130214	0.0851359929294118
21	"WALKING"	"Z"	"mean"	-0.104319332403846	-0.220947960192308	0.0983715930038462
22	"WALKING"	"Z"	"mean"	-0.107112510934783	0.0233780056086957	0.0775266594847826
23	"WALKING"	"Z"	"mean"	-0.113382994084746	-0.160763360338983	0.10770045065339
24	"WALKING"	"Z"	"mean"	-0.110595952913793	-0.140910029827586	0.0972006320344828
25	"WALKING"	"Z"	"mean"	-0.108737636297297	0.188416273486486	0.0867868736891892
26	"WALKING"	"Z"	"mean"	-0.108927011474576	0.108738699508475	0.0851069247830508
27	"WALKING"	"Z"	"mean"	-0.112822289263158	-0.126210937305263	0.118267750196491
28	"WALKING"	"Z"	"mean"	-0.103714705396296	-0.125912861222222	0.116065910925926
29	"WALKING"	"Z"	"mean"	-0.106632427301887	0.0955792142264151	0.0856852236188679
30	"WALKING"	"Z"	"mean"	-0.0986247068969231	-0.00392556384476923	0.0839568239261538
1	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.0973020020943396	-0.075402939754717	0.0583595463981132
2	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.152513899520833	-0.195888238891667	0.0688374021666667
3	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.110064863437288	-0.162943955254237	0.0215603697
4	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.114219455519231	0.0841675382884615	0.0843753843384615
5	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.107471453914894	-0.0232035364248936	0.0424442819489362
6	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.122082438784314	-0.0184608964392157	0.0664234025976471
7	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.143769688803922	-0.403599709607843	0.139217071509804
8	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.11512211995122	-0.192306960631707	-0.0724546025804878
9	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.125219003959184	-0.266009866857143	0.14569462592449
10	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.118180420834043	0.0227527702016383	0.0879664182957447
11	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.106797216481481	0.146633747092593	0.0638054379968518
12	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.107339730115385	-0.0702503820961538	0.0898022757730769
13	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.125767265890909	-0.207507170584727	0.116679563256364
14	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.112279688983333	-0.49508872037037	-0.0441381886666667
15	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.116952464895833	0.0811803405	0.0911681484547917
16	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.124074517745098	-0.379059698039216	-0.00779288021764706
17	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.121290442104167	-0.298171464166667	0.0560931358145833
18	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.112655891327586	-0.106112549189655	0.0906736478431034
19	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.151054607725	-0.2210087627	-0.000233248224999999
20	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.121023947784314	-0.130117634791765	0.058701941845098
21	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.125414265340426	-0.309735038510638	-0.00546829763829787
22	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.117550861738095	-0.0957978990316667	0.0157359244619048
23	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.126890616782353	-0.35593445	-0.0325557522333333
24	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.114248610966102	-0.227134869152542	0.0248290702830508
25	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.126210440292308	0.108230986684615	0.0996227385527692
26	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.121943461236364	-0.00199310572363636	0.0721458973490909
27	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.123530438196078	-0.294642640196078	0.140129855776471
28	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.121514025692157	-0.265207858431373	0.103720987705882
29	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.118000587840816	0.0443786011771429	0.0854318123467347
30	"WALKING_UPSTAIRS"	"Z"	"mean"	-0.124697493775385	-0.0221401100714154	0.0814699303289231
1	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.107566190908163	-0.0621199585938775	0.0900850142030612
2	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.116812942382979	-0.0438890162723404	0.097173808906383
3	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.116139842908163	-0.102352758040816	0.123826738353061
4	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.1067775246	0.148714808888889	0.05926394948
5	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.100319930659574	0.0216777910246191	0.0806559989574468
6	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.107209356208333	-0.00307981704708333	0.0870012595210417
7	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.096938308587234	-0.154935538544681	0.116894769042766
8	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.107598135394737	-0.141817934963684	0.114143855152368
9	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.0910278793952381	-0.082276174942619	0.116804400690476
10	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.110848597247368	0.0418715409263158	0.0724433685578947
11	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.111070149978261	0.132371684891304	0.057524457376087
12	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.10955593226087	-0.0561050624630435	0.0895434978391304
13	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.101993941531915	-0.0950820341687234	0.111284239655957
14	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.0928330165533333	-0.392555882222222	0.0353344537555556
15	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.110526066428571	0.0788822410992857	0.0711758197607143
16	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.119873705148936	-0.225382496382979	0.0835380057
17	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.0892432745173913	-0.160962985956522	0.0162878745776087
18	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.1033908092	-0.0493636733454545	0.0987471683127273
19	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.133695240660974	-0.126146868942821	0.163962510807692
20	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.104602925937778	-0.0282591579777778	0.103900480541333
21	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.09816866218	-0.187870253333333	0.148610020955556
22	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.1074157796	0.0412987957222222	0.0500708760555556
23	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.0988123712574074	-0.153671532259259	0.0953602497222222
24	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.104818820272727	-0.140123155018182	0.111973650603636
25	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.107192376965517	0.21879595837931	0.0980750249310345
26	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.1064396194	0.1539063202	0.082221399603
27	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.112837694688636	-0.140047614122727	0.152695027609091
28	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.10858897408913	-0.121477255782609	0.138622425584783
29	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.0981339984895833	0.0919650454166667	0.0822244074666667
30	"WALKING_DOWNSTAIRS"	"Z"	"mean"	-0.0999781422322581	0.0288081674653226	0.0895767797064516
1	"SITTING"	"Z"	"mean"	-0.104544182255319	0.332043702765957	0.0629313811914894
2	"SITTING"	"Z"	"mean"	-0.109218272456522	0.19872676876087	0.0412277462173913
3	"SITTING"	"Z"	"mean"	-0.0983579203269231	0.139020582461538	0.0940113975530769
4	"SITTING"	"Z"	"mean"	-0.10587459588	0.11012048108	0.10115033478
5	"SITTING"	"Z"	"mean"	-0.108540300265909	0.143006857611364	0.0823934451590909
6	"SITTING"	"Z"	"mean"	-0.110127728709091	0.0695219657167273	0.0854346006181818
7	"SITTING"	"Z"	"mean"	-0.122464597625	0.0649636250354167	0.0259476655145833
8	"SITTING"	"Z"	"mean"	-0.104461049130435	0.263895185521739	0.0716048809782609
9	"SITTING"	"Z"	"mean"	-0.07537846886	0.085263099144	0.0807919285908
10	"SITTING"	"Z"	"mean"	-0.104253238796296	0.20253457287037	0.0745958869444444
11	"SITTING"	"Z"	"mean"	-0.112840218339623	0.188531695981132	0.0761739419056604
12	"SITTING"	"Z"	"mean"	-0.106307228960784	0.0885640696078431	0.0728462158235294
13	"SITTING"	"Z"	"mean"	-0.0972465110836735	0.0757773858163265	0.0823432026610204
14	"SITTING"	"Z"	"mean"	-0.100401490425926	-0.0945970534814815	0.0928523607037037
15	"SITTING"	"Z"	"mean"	-0.11366125320339	0.00281565980440678	0.0951978083898305
16	"SITTING"	"Z"	"mean"	-0.0891404038405797	0.0892682200463768	0.0795736310463768
17	"SITTING"	"Z"	"mean"	-0.11362408509375	-0.135803881679687	0.0860053803375
18	"SITTING"	"Z"	"mean"	-0.111904775824561	0.161877417894737	0.0848140511754386
19	"SITTING"	"Z"	"mean"	-0.10870765430137	0.489126594657534	0.0968980718168493
20	"SITTING"	"Z"	"mean"	-0.108369634515152	0.151679135228788	0.0642882138333333
21	"SITTING"	"Z"	"mean"	-0.112057887741176	-0.0567766060705882	0.0831326042823529
22	"SITTING"	"Z"	"mean"	-0.105827369516129	0.315551492322581	0.0804426775241936
23	"SITTING"	"Z"	"mean"	-0.103808679294118	0.0630111556279412	0.0645673209117647
24	"SITTING"	"Z"	"mean"	-0.103041061426471	0.109559621020588	0.0800440230882353
25	"SITTING"	"Z"	"mean"	-0.109160440476923	0.167140956385077	0.0852783892769231
26	"SITTING"	"Z"	"mean"	-0.0974448692333333	0.314387627435897	0.0711109471666667
27	"SITTING"	"Z"	"mean"	-0.105521912588571	0.276417431042857	0.0833752812157143
28	"SITTING"	"Z"	"mean"	-0.111517939555556	0.135402566816667	0.087025401375
29	"SITTING"	"Z"	"mean"	-0.1104118192	0.286256063666667	0.0580495969166667
30	"SITTING"	"Z"	"mean"	-0.099515446133871	0.34476602	0.0702002598387097
1	"STANDING"	"Z"	"mean"	-0.110601817735849	0.0134905823226415	0.074800751
2	"STANDING"	"Z"	"mean"	-0.105908536055556	0.129747161222222	0.0878351695481481
3	"STANDING"	"Z"	"mean"	-0.101621722633148	0.024763106752459	0.0665262054098361
4	"STANDING"	"Z"	"mean"	-0.0961574905535714	0.166893825946429	0.0755636430892857
5	"STANDING"	"Z"	"mean"	-0.102171095696429	0.138638436607143	0.0690945763946429
6	"STANDING"	"Z"	"mean"	-0.112172831947368	0.0139193473596491	0.0767394745964912
7	"STANDING"	"Z"	"mean"	-0.0997778303207547	-0.0516573721320755	0.0851045000566038
8	"STANDING"	"Z"	"mean"	-0.106114996837037	-0.0979392024814815	0.063688907
9	"STANDING"	"Z"	"mean"	-0.0952747481333333	0.00914769235555555	0.0992409332222222
10	"STANDING"	"Z"	"mean"	-0.107964083931818	0.0346980210431818	0.103251560681818
11	"STANDING"	"Z"	"mean"	-0.108686630425532	0.127198423404255	0.0810588216170213
12	"STANDING"	"Z"	"mean"	-0.105526999754098	-0.0395382767304918	0.074256819
13	"STANDING"	"Z"	"mean"	-0.112124137754386	-0.0524856614035088	0.085471246877193
14	"STANDING"	"Z"	"mean"	-0.103817701790667	-0.338174888666667	0.07904758875
15	"STANDING"	"Z"	"mean"	-0.105910832679245	0.0645975994528302	0.0761946738773585
16	"STANDING"	"Z"	"mean"	-0.103657729076923	-0.166737468166667	0.0867342708846154
17	"STANDING"	"Z"	"mean"	-0.111432145565	-0.202687757012821	0.0880561869358974
18	"STANDING"	"Z"	"mean"	-0.108453355945205	-0.0485767106575342	0.0843190675616438
19	"STANDING"	"Z"	"mean"	-0.10904190460274	0.130643717849315	0.0710520180136986
20	"STANDING"	"Z"	"mean"	-0.100402759931507	0.0708655286023288	0.0773671448739726
21	"STANDING"	"Z"	"mean"	-0.110417855808989	-0.207685689775281	0.0864863265393258
22	"STANDING"	"Z"	"mean"	-0.104967423820635	0.0323824977714286	0.0733466563174603
23	"STANDING"	"Z"	"mean"	-0.1105970177575	-0.223631180906765	0.0816888999117647
24	"STANDING"	"Z"	"mean"	-0.108222553855072	-0.0530585403536232	0.077124614942029
25	"STANDING"	"Z"	"mean"	-0.107352957594595	0.201182106486486	0.0852685438243243
26	"STANDING"	"Z"	"mean"	-0.110237796416216	0.0884142682297297	0.0776706781351351
27	"STANDING"	"Z"	"mean"	-0.107835818025	-0.00557416876082625	0.07168414632375
28	"STANDING"	"Z"	"mean"	-0.106579385202532	-0.0385830501632911	0.0865173111012658
29	"STANDING"	"Z"	"mean"	-0.108659067476923	0.0316145849747692	0.0827583768461538
30	"STANDING"	"Z"	"mean"	-0.108756209835593	0.0243044362542373	0.0802514754237288
1	"LAYING"	"Z"	"mean"	-0.11320355358	0.4458177198	0.14868943626
2	"LAYING"	"Z"	"mean"	-0.107245610416667	0.646834879583333	0.144882846104167
3	"LAYING"	"Z"	"mean"	-0.101300477506452	0.48870318516129	0.137999561112903
4	"LAYING"	"Z"	"mean"	-0.110688150314815	0.341531310555556	0.169720404092593
5	"LAYING"	"Z"	"mean"	-0.107937603673077	0.263644691923077	0.159894366942308
6	"LAYING"	"Z"	"mean"	-0.133119570368421	0.175867709021053	0.179102058245614
7	"LAYING"	"Z"	"mean"	-0.101361036576923	0.907537823461538	0.155920029769231
8	"LAYING"	"Z"	"mean"	-0.102245365611111	0.719831539259259	0.13818830737037
9	"LAYING"	"Z"	"mean"	-0.10754972144	0.9578730416	0.101275010682
10	"LAYING"	"Z"	"mean"	-0.117168642362069	-0.031121624137931	0.104720478344828
11	"LAYING"	"Z"	"mean"	-0.108786578070175	0.112620189964912	0.152019015929825
12	"LAYING"	"Z"	"mean"	-0.108160125666667	0.2750431984	0.14519184795
13	"LAYING"	"Z"	"mean"	-0.104331864532258	0.598884988709677	0.117819614790323
14	"LAYING"	"Z"	"mean"	-0.0868333315509804	0.83656291	0.149124058235294
15	"LAYING"	"Z"	"mean"	-0.118530240291667	-0.0369192905555556	0.113451899791667
16	"LAYING"	"Z"	"mean"	-0.107310493242857	0.893884468571429	0.0966210349428571
17	"LAYING"	"Z"	"mean"	-0.107006279704225	0.722657502112676	0.111440490309859
18	"LAYING"	"Z"	"mean"	-0.107698927907692	0.605495317692308	0.0937781948153846
19	"LAYING"	"Z"	"mean"	-0.10898146186747	0.68762385253012	0.10860511373494
20	"LAYING"	"Z"	"mean"	-0.104274322538235	0.477573305	0.123680209926471
21	"LAYING"	"Z"	"mean"	-0.103253832233333	0.788251027111111	0.0980906517
22	"LAYING"	"Z"	"mean"	-0.110800924652778	0.771903907083333	0.145003879319444
23	"LAYING"	"Z"	"mean"	-0.104256776291667	0.918782825277778	0.111078594708333
24	"LAYING"	"Z"	"mean"	-0.107236237236111	0.683839909722222	0.111730746333333
25	"LAYING"	"Z"	"mean"	-0.100428830260274	0.526353818315068	0.139718671465753
26	"LAYING"	"Z"	"mean"	-0.105002540289474	0.614523405921053	0.152436344328947
27	"LAYING"	"Z"	"mean"	-0.107699732837838	0.84539238027027	0.118738360783784
28	"LAYING"	"Z"	"mean"	-0.1083448529625	0.0157570025	0.09357912315
29	"LAYING"	"Z"	"mean"	-0.109462068173913	0.590452224057971	0.127411971652174
30	"LAYING"	"Z"	"mean"	-0.1036581505	0.681459210714286	0.0938472163142857
1	"WALKING"	"X"	"std"	-0.283740258842105	-0.976609642526316	-0.473535485894737
2	"WALKING"	"X"	"std"	-0.423642838474576	-0.972693201355932	-0.561550255762712
3	"WALKING"	"X"	"std"	-0.360356726034483	-0.97777159137931	-0.571869560172414
4	"WALKING"	"X"	"std"	-0.440829971333333	-0.983826494833333	-0.500916659
5	"WALKING"	"X"	"std"	-0.294098534232143	-0.979348381428571	-0.490877497857143
6	"WALKING"	"X"	"std"	-0.296538717368421	-0.977779896491228	-0.446020952631579
7	"WALKING"	"X"	"std"	-0.327243240701754	-0.979851271403509	-0.503313517017544
8	"WALKING"	"X"	"std"	-0.173605736002083	-0.974752050208333	-0.1992097184375
9	"WALKING"	"X"	"std"	-0.238353562692308	-0.980971973653846	-0.476163506730769
10	"WALKING"	"X"	"std"	-0.178709734396226	-0.974435158113208	-0.414205475283019
11	"WALKING"	"X"	"std"	-0.422842071864407	-0.98110101440678	-0.596346930847458
12	"WALKING"	"X"	"std"	-0.128898533096	-0.97911312	-0.5462634706
13	"WALKING"	"X"	"std"	-0.346980394210526	-0.97254492245614	-0.376059914210526
14	"WALKING"	"X"	"std"	-0.402639098135593	-0.974816884237288	-0.60038822220339
15	"WALKING"	"X"	"std"	-0.327961801111111	-0.978397287962963	-0.329624620185185
16	"WALKING"	"X"	"std"	-0.404692523921569	-0.982469595490196	-0.654171847058823
17	"WALKING"	"X"	"std"	-0.31950017295082	-0.980983351639344	-0.47981351295082
18	"WALKING"	"X"	"std"	-0.37600552125	-0.983010882678571	-0.7044397775
19	"WALKING"	"X"	"std"	-0.0489049407963462	-0.9698614625	-0.0264357957923077
20	"WALKING"	"X"	"std"	-0.208342792019608	-0.970327266470588	-0.23294061427451
21	"WALKING"	"X"	"std"	-0.297814843538462	-0.969576355384615	-0.432232883846154
22	"WALKING"	"X"	"std"	-0.00865921919565217	-0.969643448043478	-0.318537865869565
23	"WALKING"	"X"	"std"	-0.313521773389831	-0.977230903898305	-0.494322648644068
24	"WALKING"	"X"	"std"	-0.47076236637931	-0.983132400344828	-0.580597373275862
25	"WALKING"	"X"	"std"	-0.596007443513514	-0.979499263243243	-0.401158753783784
26	"WALKING"	"X"	"std"	-0.340185527559322	-0.980055651016949	-0.492885711355932
27	"WALKING"	"X"	"std"	-0.348475560526316	-0.979866136842105	-0.606860248596491
28	"WALKING"	"X"	"std"	-0.293003522222222	-0.976693902592593	-0.503798624074074
29	"WALKING"	"X"	"std"	-0.174337940226415	-0.978253538867925	-0.598868670943396
30	"WALKING"	"X"	"std"	-0.346394275230769	-0.979752466923077	-0.387920593846154
1	"WALKING_UPSTAIRS"	"X"	"std"	-0.35470802509434	-0.956367027924528	-0.544871104528302
2	"WALKING_UPSTAIRS"	"X"	"std"	-0.304376406458333	-0.934407739791667	-0.439253058958333
3	"WALKING_UPSTAIRS"	"X"	"std"	-0.313123437627119	-0.944040819322034	-0.456039262525424
4	"WALKING_UPSTAIRS"	"X"	"std"	-0.204933042903846	-0.958495235576923	-0.454431043269231
5	"WALKING_UPSTAIRS"	"X"	"std"	-0.0457237779851064	-0.95357996893617	-0.443342262340426
